titre,prix,ville,surface,chambres,salle_de_bain,lien,prix_log,prix_par_m2
Appartement à vendre 154 m² à Marrakech,2475000.0,Appartements dans Marrakech,154.0,3.0,3.0,https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_154_m%C2%B2_%C3%A0_Marrakech_57804075.htm,14.72175135802525,16071.42857142857
Appartement à vendre 140 m² la marina Casablanca,3900000.0,Appartements dans Casablanca,155.0,2.0,3.0,https://www.avito.ma/fr/marina/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_la_marina_Casablanca_56471980.htm,15.176487367510099,25161.290322580644
Appartement à vendre 61 m² à Marrakech,1530000.0,Appartements dans Marrakech,61.0,1.0,1.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_61_m%C2%B2_%C3%A0_Marrakech_57656693.htm,14.240778946963175,25081.967213114753
Appartement à vendre à Temara,960000.0,Appartements dans Temara,128.0,3.0,1.0,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_%C3%A0_Temara_45494983.htm,13.774689605110144,7500.0
Appartement en vente 61m² à Gueliz Piscine Rooftop,1500000.0,Appartements dans Marrakech,61.0,1.0,1.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vente_61m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57656300.htm,14.220976332738882,24590.16393442623
LA PERLA BLANCA -E-8 25/56952,1150000.0,Appartements dans Benslimane,114.0,3.0,2.0,https://www.avito.ma/fr/autre_secteur/appartements/LA_PERLA_BLANCA__E_8_25_56952_57813601.htm,13.955273369904273,10087.719298245614
Appartement à vendre 60 m² à Marrakech,1320000.0,Appartements dans Marrakech,60.0,2.0,1.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_%C3%A0_vendre_60_m%C2%B2_%C3%A0_Marrakech_57658682.htm,14.093143052138025,22000.0
Appartement ensoleillé rénové à vendre Agdal Sidi Moumen,450000.0,Appartements dans Casablanca,59.0,2.0,1.0,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_ensoleill%C3%A9_r%C3%A9nov%C3%A9_%C3%A0_vendre_Agdal_Sidi_Moumen_57842959.htm,13.017005083966255,7627.118644067797
"Résidence Prestige 2, Quartier Al-Azhar",860000.0,Appartements dans Casablanca,101.0,3.0,2.0,https://www.avito.ma/fr/sidi_bernoussi/appartements/R%C3%A9sidence_Prestige_2__Quartier_Al_Azhar_56176008.htm,13.664688831019712,8514.851485148514
🏠 L’EXCEPTION URBAINE Duplex 66 m² à Guéliz,1518000.0,Appartements dans Marrakech,65.0,1.0,1.0,https://www.avito.ma/fr/gu%C3%A9liz/appartements/___L_EXCEPTION_URBAINE_Duplex_66_m%C2%B2_%C3%A0_Gu%C3%A9liz_57674996.htm,14.232904895699024,23353.846153846152
Luxueux studio en vente a Gueliz pour AIRBNB,1526500.0,Appartements dans Marrakech,61.0,1.0,1.0,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Luxueux_studio_en_vente_a_Gueliz_pour_AIRBNB_57606267.htm,14.238488746250205,25024.590163934427
CMN-SI-1877 - Appartement à vendre à Bourgogne Est,1050000.0,Appartements dans Casablanca,76.0,2.0,1.0,https://www.avito.ma/fr/bourgogne/appartements/CMN_SI_1877___Appartement_%C3%A0_vendre_%C3%A0_Bourgogne_Est_57328148.htm,13.864301674514206,13815.78947368421
